IPO Date,Symbol,Company Name,IPO Price,Current,Return,Related People,Description,Country,Industry,Sector,People
"Dec 30, 2019",MKDTY,Molecular Data Inc.,$5.38,$0.00,-100.00%,"Steven Foo (Chief Executive Officer and Chief Financial Officer), Dr. Dongliang Chang (Founder and Chairman of Board of Directors), Jingming Zhong (Compliance Officer)","Molecular Data Inc., through its subsidiaries, operates in the chemical e-commerce business in the People's Republic of China.",China,Chemicals,Materials,"{'Steven Foo': 'Chief Executive Officer and Chief Financial Officer', 'Dr. Dongliang Chang': 'Founder and Chairman of Board of Directors', 'Jingming Zhong': 'Compliance Officer'}"
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,$11.00,$2.67,-75.73%,"Dr. Wirawan Jusuf (Co-Founder, Chairman of the Board and Chief Executive Officer), Frank C. Ingriselli (President), James Jerry Huang C.F.A. (Co-Founder, Chief Investment Officer and Director), Gregory L. Overholtzer (Chief Financial Officer), Mirza F. Said (Chief Operating Officer and Director), Dr. Chia Hsin Wu (Chief Technology Officer)","Indonesia Energy Corporation Limited, together with its subsidiaries, operates as an oil and gas exploration and production company in Indonesia.",Indonesia,Oil & Gas Exploration & Production,Energy,"{'Dr. Wirawan Jusuf': 'Co-Founder, Chairman of the Board and Chief Executive Officer', 'Frank C. Ingriselli': 'President', 'James Jerry Huang C.F.A.': 'Co-Founder, Chief Investment Officer and Director', 'Gregory L. Overholtzer': 'Chief Financial Officer', 'Mirza F. Said': 'Chief Operating Officer and Director', 'Dr. Chia Hsin Wu': 'Chief Technology Officer'}"
"Dec 19, 2019",MNPR,Monopar Therapeutics Inc.,$8.00,$0.83,-89.66%,"Dr. Chandler D. Robinson M.B.A., M.D., M.Sc., MBA, MSc (Co-Founder, Chief Executive Officer, President and Director), Kim R. Tsuchimoto CPA (Chief Financial Officer, Secretary, Treasurer and Director), Andrew J. Cittadine M.B.A. (Chief Operating Officer), Dr. Patrice P. Rioux M.D., Ph.D. (Acting Chief Medical Officer)","Monopar Therapeutics Inc., a clinical-stage biopharmaceutical company, engages in developing therapeutics for the treatment of cancer in the United States.",United States,Biotechnology,Healthcare,"{'Dr. Chandler D. Robinson M.B.A., M.D., M.Sc., MBA, MSc': 'Co-Founder, Chief Executive Officer, President and Director', 'Kim R. Tsuchimoto CPA': 'Chief Financial Officer, Secretary, Treasurer and Director', 'Andrew J. Cittadine M.B.A.': 'Chief Operating Officer', 'Dr. Patrice P. Rioux M.D., Ph.D.': 'Acting Chief Medical Officer'}"
"Dec 13, 2019",SPT,"Sprout Social, Inc.",$17.00,$33.55,97.35%,"Justyn Russell Howard (Co-Founder, Chairman and Chief Executive Officer), Ryan Paul Barretto (President), Aaron Edward-Frederick Rankin (Co-Founder and Director), Joseph M. Del Preto II (Chief Financial Officer and Treasurer), Rachael Pfenning (Senior Vice President of Operations), Alan Boyce (Chief Technology Officer), Jason Rechel (Head of Investor Relations), Heidi N. Jonas Esq., J.D. (General Counsel and Secretary), Kristin Johnson (Vice President of Content and Communications), Scott Morris (Chief Marketing Officer)","Sprout Social, Inc. designs, develops, and operates a web-based social media management platform in the Americas, Europe, the Middle East, Africa, and the Asia Pacific.",United States,Software - Application,Technology,"{'Justyn Russell Howard': 'Co-Founder, Chairman and Chief Executive Officer', 'Ryan Paul Barretto': 'President', 'Aaron Edward-Frederick Rankin': 'Co-Founder and Director', 'Joseph M. Del Preto II': 'Chief Financial Officer and Treasurer', 'Rachael Pfenning': 'Senior Vice President of Operations', 'Alan Boyce': 'Chief Technology Officer', 'Jason Rechel': 'Head of Investor Relations', 'Heidi N. Jonas Esq., J.D.': 'General Counsel and Secretary', 'Kristin Johnson': 'Vice President of Content and Communications', 'Scott Morris': 'Chief Marketing Officer'}"
"Dec 13, 2019",OCFT,"OneConnect Financial Technology Co., Ltd.",$10.00,$1.82,-81.80%,"Chong Feng Shen (Chairman of the Board and Chief Executive Officer), Yongtao Luo (Chief Financial Officer), Danielle Gao (Head of Investor Relations), Xuhua Chen (Chief Marketing Officer), Dr. Runzhong Huang (Executive Vice President), Bin Ru Tan (Chief Executive Officer of Southeast Asia), Fang Liu (GM Assistant, Chief Products Officer and Chief Executive Officer of Insurance Division), Qingshan Gu (Chief Technology Officer of Gamma Division and Insurance Division), Tsz Fung Chan (Company Secretary)","OneConnect Financial Technology Co., Ltd. provides cloud-platform-based Fintech solutions, and online information and operating support services for financial institutions in the People's Republic of China.",China,Software - Application,Technology,"{'Chong Feng Shen': 'Chairman of the Board and Chief Executive Officer', 'Yongtao Luo': 'Chief Financial Officer', 'Danielle Gao': 'Head of Investor Relations', 'Xuhua Chen': 'Chief Marketing Officer', 'Dr. Runzhong Huang': 'Executive Vice President', 'Bin Ru Tan': 'Chief Executive Officer of Southeast Asia', 'Fang Liu': 'GM Assistant, Chief Products Officer and Chief Executive Officer of Insurance Division', 'Qingshan Gu': 'Chief Technology Officer of Gamma Division and Insurance Division', 'Tsz Fung Chan': 'Company Secretary'}"
"Dec 13, 2019",CIIC,CIIG Merger,$10.00,$21.60,116.00%,"Denis Sverdlov (Founder and Chairman), Igor Torgov (Chief Executive Officer and Executive Director), John K. Wozniak (Chief Financial Officer), Mitesh Soni (Vice President and Head of Investor Relations), Daniel Chin (General Counsel), Mandeep Bajwa (Chief Human Resources Officer), Tim Holbrow FCA AMCT (Senior Vice President of Strategic Finance), Michael Ableson (Chief Executive Officer of North America), Adrian Nyman (Chief Brand Officer)","Arrival engages in the research and development, and design of commercial electric vehicles (EVs), EVs components, robotic manufacturing processes for EVs, and associated software in the United Kingdom, the United States, Russia, and internationally.",Luxembourg,Auto Manufacturers,Consumer Discretionary,"{'Denis Sverdlov': 'Founder and Chairman', 'Igor Torgov': 'Chief Executive Officer and Executive Director', 'John K. Wozniak': 'Chief Financial Officer', 'Mitesh Soni': 'Vice President and Head of Investor Relations', 'Daniel Chin': 'General Counsel', 'Mandeep Bajwa': 'Chief Human Resources Officer', 'Tim Holbrow FCA AMCT': 'Senior Vice President of Strategic Finance', 'Michael Ableson': 'Chief Executive Officer of North America', 'Adrian Nyman': 'Chief Brand Officer'}"
"Dec 12, 2019",BILL,BILL Holdings Inc,$22.00,$46.96,113.45%,"Rene A. Lacerte (Founder, Chief Executive Officer and Chairperson of the Board), John R. Rettig (President and Chief Financial Officer), Rajesh A. Aji (Chief Legal and Compliance Officer and Secretary), Sofya Pogreb (Chief Operating Officer), Germaine Cota (Senior Vice President of Finance and Accounting), Kenneth Moss (Chief Technology Officer), Karen Sansot (Executive of Investor Relations), Sarah Acton (Chief Marketing Officer), Michael DeAngelo (Chief People Officer), Rinki Sethi (Vice President and Chief Information Security Officer)","BILL Holdings, Inc. provides financial automation software for small and midsize businesses worldwide.",United States,Software - Application,Technology,"{'Rene A. Lacerte': 'Founder, Chief Executive Officer and Chairperson of the Board', 'John R. Rettig': 'President and Chief Financial Officer', 'Rajesh A. Aji': 'Chief Legal and Compliance Officer and Secretary', 'Sofya Pogreb': 'Chief Operating Officer', 'Germaine Cota': 'Senior Vice President of Finance and Accounting', 'Kenneth Moss': 'Chief Technology Officer', 'Karen Sansot': 'Executive of Investor Relations', 'Sarah Acton': 'Chief Marketing Officer', 'Michael DeAngelo': 'Chief People Officer', 'Rinki Sethi': 'Vice President and Chief Information Security Officer'}"
"Dec 12, 2019",EH,EHang Holdings Limited,$12.50,$14.51,16.08%,"Huazhi Hu (Founder, Chairman and Chief Executive Officer), Chia-Hung Yang (Chief Financial Officer and Director), Xin Fang (Chief Operating Officer), Anne Ji (Senior Director of Investor Relations)","EHang Holdings Limited operates as an autonomous aerial vehicle (AAV) technology platform company in the People's Republic of China, East Asia, West Asia, Europe, and internationally.",China,Aerospace & Defense,Industrials,"{'Huazhi Hu': 'Founder, Chairman and Chief Executive Officer', 'Chia-Hung Yang': 'Chief Financial Officer and Director', 'Xin Fang': 'Chief Operating Officer', 'Anne Ji': 'Senior Director of Investor Relations'}"
"Dec 11, 2019",XP,XP Inc.,$27.00,$17.40,-35.56%,"Guilherme Dias Fernandes Benchimol (Founder and Executive Chairman), Thiago Maffra (Chief Executive Officer), Bruno Constantino Alexandre dos Santos (Chief Financial Officer and Director), Andre Parize (Head of Investor Realtions), FabrÃ­cio Cunha de Almeida (General Counsel and Director), Marco Goncalves (Head of M&A), Gabriel Dos Santos (Head of Recruitment and Selection), Jose de Menezes Berenguer Neto (Chief Executive Officer of Banco XP S.A.), Antonio GuimarÃ£es (Investor Relations Officer), Ygor Gomes Altero (Equity Research Analyst)",XP Inc. provides financial products and services in Brazil.,Brazil,Capital Markets,Financials,"{'Guilherme Dias Fernandes Benchimol': 'Founder and Executive Chairman', 'Thiago Maffra': 'Chief Executive Officer', 'Bruno Constantino Alexandre dos Santos': 'Chief Financial Officer and Director', 'Andre Parize': 'Head of Investor Realtions', 'FabrÃ\xadcio Cunha de Almeida': 'General Counsel and Director', 'Marco Goncalves': 'Head of M&A', 'Gabriel Dos Santos': 'Head of Recruitment and Selection', 'Jose de Menezes Berenguer Neto': 'Chief Executive Officer of Banco XP S.A.', 'Antonio GuimarÃ£es': 'Investor Relations Officer', 'Ygor Gomes Altero': 'Equity Research Analyst'}"
"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,$10.00,$10.30,3.00%,"Manuel Senderos Fernandez (President), Garduno Gonzalez Elizondo-Mauricio (Vice President of Business Development and Director), Diego Zavala (Director and Vice President of M&A), Sumeet Gupta (Interim Chief Executive Officer), Carolyne Cesar (Chief Financial Officer), Alejandro Manzocchi (Chief Operating Officer), Ana Cecilia Hernandez (Chief Operations Finance Officer and Senior Vice President of Corporate Finance), Clare G. DeBoef (Chief Information Officer), Diana P. Abril (Chief Legal Officer and Secretary), Kathy Sadden (Chief Marketing Officer and Investor Relations)","AgileThought, Inc. provides digital transformation services in the United States and Latin America.",United States,Information Technology Services,Technology,"{'Manuel Senderos Fernandez': 'President', 'Garduno Gonzalez Elizondo-Mauricio': 'Vice President of Business Development and Director', 'Diego Zavala': 'Director and Vice President of M&A', 'Sumeet Gupta': 'Interim Chief Executive Officer', 'Carolyne Cesar': 'Chief Financial Officer', 'Alejandro Manzocchi': 'Chief Operating Officer', 'Ana Cecilia Hernandez': 'Chief Operations Finance Officer and Senior Vice President of Corporate Finance', 'Clare G. DeBoef': 'Chief Information Officer', 'Diana P. Abril': 'Chief Legal Officer and Secretary', 'Kathy Sadden': 'Chief Marketing Officer and Investor Relations'}"
