Title,Link,Image,Source,Time,Article content
Singapore's central bank establishes review group in bid to revive its stock market development,https://www.cnbc.com/2024/08/02/mas-sets-up-review-group-in-bid-to-revive-its-sgx-development.html,https://image.cnbcfm.com/api/v1/image/105995951-1561944910214gettyimages-520347272.jpeg?v=1636431599&w=884&h=442&vtcrop=y,3 days ago - CNBC News,2024-08-02,"In this article
Singapore's central bank established a task force to bolster the city-state's stock market.
The Monetary Authority of Singapore announced that the review group will evaluate measures to ""improve the vibrancy"" of the Singapore equities market.
MAS said on Friday the panel will focus on addressing market challenges, fostering listings, and facilitating market revitalization, as well as enhancing regulations to facilitate market growth and foster investor confidence.
It said another key goal will be to identify methods for encouraging private sector participation, including from capital market intermediaries, investors and listed companies. 
The authority noted that a ""dynamic equities market is an important part of the capital formation value chain,"" and that a liquid market enables companies to not only access capital as they expand, but also ""allows asset owners and the investing public to participate in the growth of quality companies.""
""Improving the attractiveness of Singapore's equities market can therefore enhance Singapore's standing as a vibrant enterprise and financial hub,"" the MAS said, adding that this will also ""[complement] Singapore's innovation and start-up ecosystem, private markets, as well as asset and wealth management sectors.""
Despite the Straits Times Index rising in three of the last four years including 2024, Singapore's stock market has been long plagued by thin trading volumes and more delistings than listings. This has led observers to describe the exchange as ""boring,"" ""unexciting"" and even once in 2021, a ""zombie"" bourse.
Turnover velocity at the SGX, a measure of market liquidity, stood at 36% for the whole of 2023, compared to 57.35% at the Hong Kong Exchange in the same period, and 103.6% at the Japan Exchange.
Analysts who previously spoke to CNBC outlined ways to revive interest in the SGX, including taking lessons from ""value up programs"" in Japan and South Korea.
The review group announced Friday will be chaired by Chee Hong Tat, Singapore's second minister of finance, and also include members like Koh Boon Hwee, the current chairman of the SGX.
The SGX said it welcomes the announcement and pledged to work closely with the review group.SGX RegCo, the regulatory arm of the exchange, will also aim to ""increase accountability, transparency and market discipline.""""Only a whole-of-ecosystem approach can lead to transformative actions that will give fresh impetus to improving liquidity and listings in Singapore's equities market,"" SGX said in a statement to CNBC."
"China securities official expected to lead Shenzhen stock exchange, Reuters reports",https://www.cnbc.com/2024/08/02/china-securities-official-expected-to-lead-shenzhen-stock-exchange.html,https://image.cnbcfm.com/api/v1/image/107007807-1643337444460-gettyimages-1267455437-vcg111295937601.jpeg?v=1722559314&w=412&h=442&vtcrop=y,4 days ago - CNBC News,2024-08-01,"China is expected to appoint a senior securities official to head its second-largest bourse, four sources said, filling a role that has been vacant for the unusually long period of seven months as the securities regulator reshuffled its leadership.
Li Jizun, a civil servant who is now director of the general office at the China Securities Regulatory Commission (CSRC), is set to become general manager of the 27-trillion-yuan ($3.73-trillion) Shenzhen Stock Exchange, the sources said.
The role is the exchange's second most senior executive position and will see Li, whose appointment was finalized last week, move from the capital Beijing to the southern boom city of Shenzhen in the next few weeks, said two of the sources.
All the sources declined to be identified as they were not authorized to speak to the media.
The CSRC and the Shenzhen exchange did not immediately respond to a faxed request for comment. Li could not be immediately reached for comment.
Born in 1974, Li has headed the regulator's general office since 2022, overseeing day-to-day operations and managing the administrative affairs of its top leadership, according to one of the sources familiar with the matter and Chinese media.
A former State Council official, Li began working at the CSRC in 2016, first in the research center mainly charged with studying and drafting strategies for capital markets and then heading the markets department overseeing infrastructure such as settlement and custody as well as risk management.
He was also deeply involved in the CSRC's capital market reform measures that include the launch of Shanghai's Nasdaq-style STAR Market and the pilot of a U.S.-style registration system for stock market floats, domestic media said.
Li's appointment comes after the exchange's former general manager, Sha Yan, was promoted as its Communist Party chief in December.
It is a common practice at state-owned institutions and firms for the party chief to also hold the position of chairman.
Sha had worked at the securities regulator for more than two decades before taking over at the Shenzhen exchange in mid-2020, after her predecessor Wang Jianjun was promoted to the party chief role before returning to the regulator as a vice chairman.
It is also common practice for CSRC officials to lead one of the main stock exchanges to strengthen their credentials and leadership capabilities before they return to the regulator in a more senior position.
Wang, also a CSRC veteran, served as the director of the general office before his tenure at the Shenzhen exchange.
Founded in 1990 in what was then a fishing village, the Shenzhen exchange has fast developed to become China's largest stock market after the Shanghai Stock Exchange, and one of the world's busiest markets for IPOs.
Shenzhen is a key tech and manufacturing hub, and its exchange has had a key role in raising funds for companies in the tech and healthcare sectors.
Last year, its start-up board ChiNext took the global crown for IPO volumes, with $16.4 billion raised, LSEG data shows.
The CSRC is in the midst of re-organizing its own leadership.
On Tuesday, the regulator promoted Li Ming, its law enforcement head, to the role of vice chairman, replacing Fang Xinghai, in a step that confirmed an earlier report by Reuters.
In February, Wu Qing, a former deputy party chief in the financial hub of Shanghai, took over as CSRC chairman when stock markets were near their lowest in five years and after several warnings against short-selling and other steps to arrest the slide by his predecessor Yi Huiman failed."
SoftBank-backed Ola Electric to raise $734m in India's biggest IPO this year,https://www.cnbc.com/2024/07/29/softbank-backed-ola-electric-aims-to-raise-734-million-in-indias-biggest-ipo-this-year.html,https://image.cnbcfm.com/api/v1/image/107428712-1718293652888-gettyimages-1234690305-AFP_9L69QR.jpeg?v=1718293715&w=412&h=206&vtcrop=y,1 week ago - CNBC News,2024-07-29,"Indian e-scooter maker Ola Electric said on Monday it aimed to raise $734 million in this year's biggest domestic IPO, with foreign investors eyeing the offering after the SoftBank-backed firm was valued at a sharply lower $4 billion.
The IPO comes amid a stock market boom in India, as more than 150 companies have raised nearly $5 billion through public listings between January and July, nearly double the figure of the corresponding period last year, LSEG data shows.
The first IPO by an Indian electric vehicle maker will let investors bet on a clean energy push by Prime Minister Narendra Modi's government, as well as firms from Tata Motors and TVS to Hyundai Motor.
""Tesla is for the West and Ola for the rest,"" has become a catchphrase best linked to the firm's chairman, Bhavish Aggarwal, who is betting big on cleaner vehicles, after having often publicly criticized gasoline and diesel vehicles.
With e-scooter prices starting at around $900, Ola Electric has become the biggest player in a country where adoption of clean vehicles is still low, but rising rapidly. It has 46% of the e-scooter market despite slashing sales goals last year.
A term sheet showed the IPO, which will run from Aug. 1 to Aug. 6, puts a value of $4 billion on the company, which sold its first scooter in 2021.
That valuation is about 25% lower than Ola's last funding round in September, led by Singapore's investment firm Temasek which valued the EV maker at $5.4 billion.
The lower figure stems from a correction in the valuation of global tech companies, while Ola also wants to attract participants to the stock offering, said sources who spoke on condition of anonymity.
The IPO is set to draw investor bids from Fidelity, Nomura and Norges Bank at the $4 billion valuation, as well as several Indian mutual funds, sources who asked not to be identified told Reuters.
In the IPO, Ola will issue new shares to raise $657 million while existing investors offload their stake of about $77 million to IPO investors, the term sheet showed.
The company unveiled the price band of 72 rupees to 76 rupees ($0.86-$0.91) in an advertisement in the Financial Express newspaper, with a discount of 7 rupees a share for some eligible employees.
Aggarwal and investors such as SoftBank and Matrix Partners will sell part of their stakes in the IPO.
Monday's newspaper ad showed 10% of the IPO will be reserved for retail investors, with proceeds going to fund capital expenditure and research and development efforts.
Aggarwal also had plans to start selling an electric car in 2024, but Reuters reported they have been suspended to let the company focus on e-scooters. It also plans a foray into electric motorcycles.
The company, which disrupted the two-wheeler market forcing a pivot by incumbents such as TVS, Hero MotoCorp and Bajaj Auto, reported a loss of 15.84 billion rupees ($189 million) before tax in the fiscal year 2023-24."
Pershing Square postpones U.S. closed-end fund IPO,https://www.cnbc.com/video/2024/07/26/pershing-square-postpones-u-s-closed-end-fund-ipo.html,https://image.cnbcfm.com/api/v1/image/108012629-17220287831722028780-35534236213-1080pnbcnews.jpg?v=1722028782&w=412&h=206&vtcrop=y,1 week ago - CNBC News,2024-07-26,
Lineage closes up more than 3% in market’s largest IPO of 2024,https://www.cnbc.com/2024/07/25/lineage-goes-public-largest-ipo-2024.html,https://image.cnbcfm.com/api/v1/image/108011798-17219219432024-07-25t151946z_216025317_rc2e29azbta0_rtrmadp_0_lineage-ipo.jpeg?v=1721922056&w=412&h=206&vtcrop=y,1 week ago - CNBC News,2024-07-25,"Lineage, the largest temperature-controlled warehouse real estate investment trust (REIT) in the world, closed up more than 3% in its Nasdaq Stock Market debut on Thursday, after going public under the ticker symbol ""LINE.""
Lineage priced 57 million shares at $78 apiece on Wednesday, near the top of its initial $70 to $82 target range. The company raised $4.4 billion at an implied valuation over $18 billion, making it the largest public offering since chip designer Arm's $4.8 billion listing last September and more than twice the size of cruise operator Viking Holdings, which went public in May.
Lineage is a four-time CNBC Disruptor 50 company that ranked No. 46 on this year's list.
One of the biggest factors in the company's success is its aggressive acquisition strategy.
""We started with one warehouse and we've done 116 acquisitions to turn Lineage into what it is today,"" co-founder and co-executive chairman Adam Forste said on CNBC's ""Squawk Box"" Thursday morning before shares started trading.
In the last year alone, Lineage has acquired Grupo Fuentes, Burris Logistics, Kennedy Transportation and Harnes. The Burris acquisition alone gave Lineage eight new facilities.
""So many families who we've bought companies from rolled equity into Lineage as part of their transaction, so they're celebrating here today with us as well,"" Forste said, adding that the company's namesake is derived from the network, or lineage, of family-owned warehouses that he and co-founder Kevin Marchetti have brought into the fold.
Lineage has amassed over 480 facilities, totaling roughly 2.9 billion cubic feet of capacity across countries in North America, Europe, and the Asia-Pacific region. These locations create a global network of cold-storage facilities, reducing supply chain food waste and its environmental impact.
Food loss happens at every level of the supply chain, with an estimated $600 billion worth of food going to waste during or just after harvest. That ever-growing amount of waste currently accounts for about 11% of the world's emissions – making it one of the biggest environmental issues contributing to climate change.
Morgan Stanley, Goldman Sachs, Bank of America, J.P. Morgan and Wells Fargo were the lead underwriters for Lineage's offering.
Sign up for our weekly, original newsletter that goes beyond the annual Disruptor 50 list, offering a closer look at list-making companies and their innovative founders."
Lineage co-founders on IPO debut: We're here to be the world's food infrastructure,https://www.cnbc.com/video/2024/07/25/lineage-co-founders-on-ipo-debut-were-here-to-be-the-worlds-food-infrastructure.html,https://image.cnbcfm.com/api/v1/image/108011690-17219112551721911252-35512791672-1080pnbcnews.jpg?v=1721911255&w=410&h=212&vtcrop=y,1 week ago - CNBC News,2024-07-25,
OneStream CEO talks stock popping 34% after IPO,https://www.cnbc.com/video/2024/07/24/onestream-ceo-talks-stock-popping-34-percent-after-ipo.html,https://image.cnbcfm.com/api/v1/image/108011418-17218552991721855294-35502950436-1080pnbcnews.jpg?v=1721855298&w=410&h=212&vtcrop=y,1 week ago - CNBC News,2024-07-24,
2024 is shaping up to be another tough year for IPOs,https://www.cnbc.com/2024/07/24/2024-is-shaping-up-to-be-another-tough-year-for-ipos-what-its-going-to-take-to-turn-it-around.html,https://image.cnbcfm.com/api/v1/image/108011182-1721838321029-gettyimages-1232161295-ONSTREAM_SOFTWARE.jpeg?v=1721838420&w=410&h=212&vtcrop=y,1 week ago - CNBC News,2024-07-24,
Shares of Stellar Blade maker Shift Up surge almost 50% on trading debut,https://www.cnbc.com/2024/07/11/stellar-blade-maker-shift-up-ipo.html,https://image.cnbcfm.com/api/v1/image/108004338-1720672745123-gettyimages-2160909423-SKOREA_SHIFT_UP.jpeg?v=1720672756&w=410&h=212&vtcrop=y,3 weeks ago - CNBC News,2024-07-11,"Shares of South Korean video game developer Shift Up spiked almost 50% as the company debuted on the Kospi on Thursday.
The video game developer, which counts Chinese internet giant Tencent as its second largest shareholder, saw its shares climb as high as 89,500 South Korean won (about $64.89) apiece, a 49.17% gain from its initial public offering price of 60,000 won.
The company sold 7.25 million shares in its IPO, raising 435 billion won or about $315.56 million. At the offering price, the company would be valued at 3.48 trillion won, according to CNBC's calculations.
Demand was strong with institutional investors oversubscribing by almost 226 times the institutional allocation and the general offering over 341 times oversubscribed.
This is South Korea's largest IPO since the debut of maintenance and repair firm HD Hyundai Marine Solution in May.
Shift Up was established in 2013, but only gained prominence in 2024 after it released Stellar Blade, a PlayStation 5 exclusive that topped sales in the PlayStation stores of eight countries. It became the best selling game in the U.S. for April, despite being released on April 26.
In just two months, the game had sold over one million copies. Shift Up also makes the free-to-play game Goddess of Victory: Nikke, released in 2022.
The company reported sales of 168.6 billion won in 2023, up 155.2% year-on-year."
UK launches new listing rules in bid to boost growth for London's stock exchange,https://www.cnbc.com/2024/07/11/uk-launches-new-listing-rules-in-bid-to-boost-london-stock-exchange.html,https://image.cnbcfm.com/api/v1/image/108003880-1720621944820-gettyimages-1246744992-Vuk_Valcic_City_020223_1.jpeg?v=1720621997&w=410&h=212&vtcrop=y,3 weeks ago - CNBC News,2024-07-11,"The U.K.'s Financial Conduct Authority announced Thursday new rules for the country's stock market listings in a bid to boost growth following a slow down in IPOs.
The new rules — which come into effect from July 29 — will ensure the U.K.'s listing system is more in line with those in other markets, and will make it simpler and more streamlined, the FCA said in a statement.
The measures mark the biggest change to the listing regime in over three decades, the FCA said. ""They aim to support a wider range of companies to issue their shares on a UK exchange, increasing opportunities for investors,"" the regulator added.
One key change is the removal of the 'premium' and 'standard' listing segments. Instead there will be one overall category for equity share listings, which has been named 'commercial companies.'
This ""should very much simplify the process,"" Sarah Pritchard, the FCA's executive director for markets and international, told CNBC's ""Squawk Box Europe"" on Thursday. 
Previously, there were complexities between the two categories, while the standard listing segment was not well understood, she said.
""We had overwhelming feedback and support from all parts of the market on the need to simplify and move to one straightforward category,"" Pritchard explained.
Premium listings previously had additional requirements compared to standard ones. Some of these will be carried over and now applied to all listings, while others have been scrapped.  
""The new rules remove the need for votes on significant or related party transactions and offer flexibility around enhanced voting rights. Shareholder approval for key events, like reverse takeovers and decisions to take the company's shares off an exchange, is still required,"" the FCA said.
Some rules around eligibility for listings will also change, such as the removal of a requirement for companies to provide track records of their revenue.
The rules are a positive move for the U.K. IPO market, but could have gone further, Chris Haynes, corporate partner at law firm Gibson Dunn told CNBC in emailed comments.
""The move to a single listing category with streamlined eligibility criteria, and to disclosure-based continuing obligations, is one of a number of important initiatives which, together, should lead to more UK IPO activity,"" he said.
""In my view the FCA could have created further flexibility in some areas, such as in relation to dual class share structures, however overall it's a good outcome,"" Haynes added.
The new rules come at a time when the European listings market, and the U.K.'s in particular, have slumped. Major tech companies have recently favored the U.S. for their listings, including British chip designer Arm which chose to list on New York's Nasdaq last year.
Euronext reported 64 equity listings on its platform last year, a significant drop from the 83 listings it welcomed in 2022.
The new rules were made in response to the 2021 U.K. Listing Review report which showed that the number of listed companies in the UK has declined by about 40% since 2008, and that only 5% of global IPOs between 2015 and 2020 took place in the U.K."
